Game,2014,2019,2018,2015,2017,2013,N/A,2016,2020,Genre,North America,Europe,Japan,Rest of World,Global,Publisher
Grand Theft Auto V,1,0,0,0,0,0,0,0,0,Action,98.05825242718447,100.0,27.649769585253456,100.0,99.99999999999999,Rockstar Games
Call of Duty: Black Ops 3,0,0,0,1,0,0,0,0,0,Shooter,100.0,62.3069001029866,18.894009216589865,80.79470198675497,77.82362042289839,Activision
Red Dead Redemption 2,0,0,1,0,0,0,0,0,0,Action-Adventure,85.11326860841424,63.954685890834185,9.67741935483871,74.8344370860927,71.89272821041773,Rockstar Games
Call of Duty: WWII,0,0,0,0,1,0,0,0,0,Shooter,75.56634304207121,63.954685890834185,18.433179723502306,70.19867549668875,69.10778751933987,Activision
FIFA 18,0,0,0,0,1,0,0,0,0,Sports,20.550161812297738,88.9804325437693,6.912442396313364,57.28476821192053,60.85611139762763,EA Sports
FIFA 17,0,0,0,0,0,0,0,1,0,Sports,20.38834951456311,81.8743563336766,5.529953917050691,53.3112582781457,56.42083548220731,Electronic Arts
Uncharted (PS4),0,0,0,0,0,0,0,1,0,Action,72.6537216828479,40.473738414006185,9.67741935483871,56.29139072847682,53.27488396080452,Sony Interactive Entertainment
Spider-Man (PS4),0,0,1,0,0,0,0,0,0,Action-Adventure,58.89967637540454,34.912461380020595,14.746543778801845,46.6887417218543,45.177926766374405,Sony Interactive Entertainment
Call of Duty: Infinite Warfare,0,0,0,0,0,0,0,1,0,Shooter,50.323624595469255,39.44387229660144,8.755760368663596,45.03311258278146,43.73388344507478,Activision
Fallout 4,0,0,0,1,0,0,0,0,0,Role-Playing,47.087378640776706,40.88568486096808,12.442396313364057,44.37086092715232,43.73388344507478,Bethesda Softworks
FIFA 16,0,0,0,1,0,0,0,0,0,Sports,18.6084142394822,59.42327497425333,3.2258064516129044,40.728476821192054,42.39298607529654,EA Sports
Star Wars Battlefront 2015,0,0,0,1,0,0,0,0,0,Shooter,53.559870550161826,32.85272914521112,10.599078341013826,43.046357615894046,41.41309953584321,Electronic Arts
Call of Duty: Advanced Warfare,1,0,0,0,0,0,0,0,0,Shooter,45.954692556634306,34.39752832131823,6.451612903225809,40.397350993377486,38.83445074780814,Activision
Battlefield 1,0,0,0,0,0,0,0,1,0,Shooter,35.59870550161813,37.590113285272906,13.364055299539169,37.08609271523179,37.4419804022692,Electronic Arts
The Last of Us,1,0,0,0,0,0,0,0,0,Action-Adventure,43.68932038834952,29.454170957775485,5.0691244239631335,36.42384105960265,34.91490458999483,Sony Computer Entertainment
MineCraft,1,0,0,0,0,0,0,0,0,Misc,30.58252427184466,32.23480947476828,16.129032258064516,31.78807947019867,32.645693656523974,Sony Computer Entertainment
FIFA 15,1,0,0,0,0,0,0,0,0,Sports,13.430420711974108,46.24098867147271,2.3041474654377883,31.12582781456953,32.594120680763275,EA Sports
